week,year,gen_acc_balance,rev_acc_balance,com_acc_balance,forked_accounts_balance,total_portfolio_value,weekly_income,active_forked_accounts,total_forked_accounts_created,quarterly_reinvestment
255,5,148349.21087886812,1667252.59728476,382622.82963311934,3420891.880133716,5619116.517930463,64734.42212862174,20,20,0.0
256,5,150467.22029417485,1685640.453325497,386202.4975559877,3462236.170354942,5684546.3415306015,65429.82360013657,20,20,0.0
257,5,152125.7817920783,1702720.5674018303,388208.61777858716,3502360.3324709428,5745415.299443439,60868.957912837766,20,20,0.0
258,5,155732.875752528,1720122.260267664,393042.3123067729,3548175.2147273314,5817072.663054297,71657.363610858,21,21,0.0
259,5,159192.60867146414,1764012.6120130075,395279.3258131592,3592319.018151897,5910803.564649528,93730.90159523071,21,21,0.0
260,5,161715.01088995129,1776467.1564454776,398696.01937976596,3626535.706841928,5963413.893557123,52610.32890759476,21,21,0.0
261,6,165958.98894940823,1795362.0002559253,400161.5657192235,3668482.3650549827,6029964.91997954,66551.02642241723,21,21,0.0
262,6,168501.44713461847,1813032.9904829545,405701.7036417071,3711009.095234751,6098245.236494031,68280.31651449087,21,21,0.0
263,6,174625.6901894824,1859317.7976733432,411383.61039009603,3746569.779425776,6191896.877678698,93651.64118466721,21,21,0.0
264,6,177488.2418782972,1887844.0121470843,413586.0043791335,3795704.0671964996,6274622.325601015,82725.44792231663,22,22,0.0
265,6,179235.03849593468,1922106.876227208,415551.8248986062,3840125.0708540557,6357018.810475804,82396.48487478943,22,22,0.0
266,6,182200.5198581812,1940916.973525325,419371.2129104441,3887237.2633168134,6429725.969610764,72707.15913496,22,22,0.0
267,6,184848.01690021955,1959634.8852179332,420677.83931016887,3938370.4935625503,6503531.234990872,73805.26538010708,22,22,0.0
268,6,183646.64108374645,1977048.4858219137,420677.83931016887,3986713.404653712,6568086.370869542,64555.13587866998,22,22,0.0
269,6,186080.45736744563,1997696.3115875176,423047.45139209984,4052417.1160812173,6659241.336428281,91154.96555873974,22,22,0.0
270,6,190315.59382509653,2011051.2874196556,426485.20450791524,4106336.0194863463,6734188.105239013,74946.7688107332,22,22,0.0
271,6,189211.6018000713,2030532.025356373,428866.8044198924,4163092.1032432625,6811702.534819599,77514.4295805844,24,24,0.0
272,6,191811.1260069806,2062685.9372729794,428697.2293101235,4218092.197726805,6901286.490316888,89583.9554972901,24,24,0.0
273,6,191811.1260069806,2085563.4268554018,433947.8246627486,4274129.693663498,6985452.07118863,84165.58087173982,24,24,0.0
274,6,197009.44925441148,2144625.7943916977,437497.9602305361,4321694.733117994,7100827.936994639,115375.86580601108,26,26,0.0
275,6,201773.52341374528,2167201.427004069,439960.61582512135,4367121.63384989,7176057.200092826,75229.26309818638,26,26,0.0
276,6,206304.92268816315,2188070.392117302,443399.7669697758,4414909.615230115,7252684.697005356,76627.49691252943,26,26,0.0
277,6,211112.36418610878,2247090.9134579743,444581.3268475867,4469734.066351607,7372518.670843277,119833.97383792073,27,27,0.0
278,6,212928.75840988863,2257808.9721952407,445769.3104130547,4525574.396864473,7442081.437882656,69562.76703938196,27,27,0.0
279,6,218752.5165321208,2279436.9129275447,447753.35496474407,4578703.884664992,7524646.669089401,82565.23120674514,28,28,0.0
280,6,120000.0,2338724.1671127654,449377.9089282719,4739152.830248693,7647254.90628973,122608.23720032815,29,29,0.0
281,6,122615.33162135143,2334173.017674138,453005.97792679246,4798730.97791761,7708525.305139892,61270.39885016024,30,30,0.0
282,6,125589.98042960178,2359576.374660405,455385.44657151133,4855282.13873461,7795833.940396128,87308.63525623785,30,30,0.0
283,6,127720.54299689883,2383979.1944499956,458838.58362991054,4919232.089122198,7889770.410199002,93936.46980287462,30,30,0.0
284,6,129476.64763608838,2447893.7169448254,460556.6819242683,4976175.302746849,8014102.349252031,124331.93905302716,30,30,0.0
285,6,130561.96874356504,2447893.7169448254,466511.5139569026,5028440.968026099,8073408.167671392,59305.818419359675,30,30,0.0
286,6,132461.9871587806,2473433.918860082,466511.5139569026,5086611.478723527,8159018.898699292,85610.73102790258,30,30,0.0
287,6,136179.80466577085,2473433.918860082,468961.93548835535,5148615.231301438,8227190.890315646,68171.99161635547,31,31,0.0
288,6,138154.7333858199,2541649.8122832663,475553.39070968074,5214888.518685904,8370246.455064671,143055.56474902155,33,33,0.0
289,6,141234.77016644375,2569299.4846469797,478074.80476074625,5279926.254112854,8468535.313687023,98288.85862235173,33,33,0.0
290,6,143615.98945869083,2612221.2912664507,480664.0986013949,5337163.589197501,8573664.968524037,105129.65483701497,33,33,0.0
291,6,149668.87002076732,2660094.341013989,482021.7488059215,5403277.879668068,8695062.839508746,121397.87098470825,33,33,0.0
292,6,151971.43808318337,2686222.481910468,484689.31263339706,5468196.475126019,8791079.707753068,96016.86824432327,33,33,0.0
293,6,156159.27372891005,2712071.534297568,487285.6802016995,5543893.201613639,8899409.689841816,108329.98208874761,33,33,0.0
294,6,155369.34507098346,2751707.0592412446,491886.23571174033,5610654.667655464,9009617.307679433,110207.61783761757,34,34,0.0
